"","team","wins","win_pc","mean_rank"
"1","SAS",2018,0.624381188118812,7.425
"2","LAL",1969,0.609220297029703,8.825
"3","OKC",538,0.607223476297968,9.09090909090909
"4","BOS",1855,0.574125657691117,11.025
"5","POR",1812,0.560643564356436,11.15
"6","UTA",1803,0.557858910891089,11.25
"7","HOU",1802,0.557549504950495,10.875
"8","SEA",1284,0.547314578005115,12.448275862069
"9","PHO",1759,0.54424504950495,12.4
"10","MIA",1294,0.518845228548516,13.6451612903226
"11","CHI",1672,0.517326732673267,13.55
"12","DET",1664,0.514851485148515,13.15
"13","IND",1639,0.507273290003095,13.525
"14","ATL",1621,0.50154702970297,14.475
"15","DAL",1572,0.499047619047619,13.8717948717949
"16","MIL",1610,0.498143564356436,14.95
"17","PHI",1582,0.489480198019802,15
"18","CHH",542,0.485663082437276,15.1428571428571
"19","DEN",1558,0.482054455445545,15.15
"20","ORL",1158,0.480099502487562,16.4666666666667
"21","CLE",1544,0.477722772277228,15.05
"22","NOH",342,0.473684210526316,17.2222222222222
"23","MEM",691,0.473287671232877,16.3888888888889
"24","NYK",1527,0.472462871287129,16.075
"25","TOR",902,0.469791666666667,17.2083333333333
"26","KCK",231,0.469512195121951,13.8333333333333
"27","NOK",77,0.469512195121951,18
"28","CHO",192,0.468292682926829,17.6
"29","GSW",1508,0.466584158415842,16.1
"30","NOP",224,0.455284552845528,18.8333333333333
"31","WSB",633,0.428861788617886,17
"32","WAS",750,0.427107061503417,20.2272727272727
"33","NJN",1125,0.423250564334086,17.5151515151515
"34","SAC",1156,0.421897810218978,18.7647058823529
"35","BRK",242,0.421602787456446,19.2857142857143
"36","LAC",1165,0.412827781715096,18.2571428571429
"37","MIN",961,0.398424543946932,20.0333333333333
"38","CHA",293,0.364427860696517,23.1
"39","SDC",143,0.348780487804878,18.6
"40","VAN",101,0.219565217391304,27.5
